7/4/2019,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",STRONG-ARM ,34.1127,-118.4043
8/5/2019,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",SEMI-AUTOMATIC PISTOL,33.9747,-118.2783
6/20/2019,ROBBERY,STRONG-ARM ,34.0545,-118.3122
9/7/2019,ROBBERY,HAND GUN,34.136,-118.1932
9/1/2019,ROBBERY,STRONG-ARM ,33.9583,-118.2605
5/22/2019,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",HAND GUN,34.0446,-118.245
6/2/2019,CRIMINAL HOMICIDE,HAND GUN,34.1975,-118.5273
4/6/2019,ROBBERY,SEMI-AUTOMATIC PISTOL,33.9528,-118.2827
6/7/2019,ROBBERY,STRONG-ARM ,33.9765,-118.2783
5/26/2019,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",KNIFE WITH BLADE 6INCHES OR LESS,34.0121,-118.2696
7/5/2019,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",MACHETE,34.221,-118.604
4/18/2019,ROBBERY,STRONG-ARM ,34.0018,-118.2609
8/31/2019,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",HAND GUN,34.2775,-118.457
6/11/2019,ROBBERY,STRONG-ARM ,34.0637,-118.2916
8/20/2019,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",HAND GUN,34.2686,-118.2968
6/19/2019,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",STRONG-ARM ,34.0998,-118.3324
4/14/2019,ROBBERY,STRONG-ARM ,33.7243,-118.2963
5/15/2019,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",STRONG-ARM ,34.0092,-118.2728
5/9/2019,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",KNIFE WITH BLADE 6INCHES OR LESS,34.0499,-118.309
7/19/2019,ROBBERY,HAND GUN,34.1037,-118.3459
9/2/2019,ROBBERY,STRONG-ARM ,34.0208,-118.2569
4/29/2019,ROBBERY,STRONG-ARM ,33.9955,-118.4745
8/15/2019,ROBBERY,STRONG-ARM ,34.2688,-118.4559
4/7/2019,ROBBERY,STRONG-ARM ,34.2308,-118.5733
5/31/2019,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",KNIFE WITH BLADE 6INCHES OR LESS,34.0249,-118.2733
4/13/2019,ROBBERY,STRONG-ARM ,34.0112,-118.2827
4/1/2019,ROBBERY,STRONG-ARM ,34.2013,-118.5167
